2026-03-26T18:35:36+0000 i1.pserver.space vpnnode[208354]: 2026-03-26T18:35:36.428123Z  INFO vpnnode::roles::relay: relay listening (hop-by-hop) addr=0.0.0.0:30001
2026-03-26T18:35:36+0000 i1.pserver.space vpnnode[208354]: 2026-03-26T18:35:36.430318Z  INFO vpnnode::roles::relay: node ready role="relay" addr=0.0.0.0:30001
2026-03-26T18:43:38+0000 i1.pserver.space vpnnode[208354]: 2026-03-26T18:43:38.976522Z  INFO vpnnode::roles::relay: relay forward path forwarding from idx=1 to downstream from=Udp://46.242.13.60:2058 to=Udp://31.192.232.26:30000 idx=0
2026-03-26T18:43:39+0000 i1.pserver.space vpnnode[208354]: 2026-03-26T18:43:39.107921Z  INFO vpnnode::roles::relay: relay reverse path (first hop) forwarding to client at idx=0 from=Udp://31.192.232.26:30000 to=Udp://46.242.13.60:2058 idx=0
2026-03-26T18:43:39+0000 i1.pserver.space vpnnode[208354]: 2026-03-26T18:43:39.172694Z  INFO vpnnode::roles::relay: relay forward path forwarding from idx=1 to downstream from=Udp://46.242.13.60:2058 to=Udp://31.192.232.26:30000 idx=0
2026-03-26T18:43:39+0000 i1.pserver.space vpnnode[208354]: 2026-03-26T18:43:39.300777Z  INFO vpnnode::roles::relay: relay reverse path (first hop) forwarding to client at idx=0 from=Udp://31.192.232.26:30000 to=Udp://46.242.13.60:2058 idx=0
2026-03-26T18:43:39+0000 i1.pserver.space vpnnode[208354]: 2026-03-26T18:43:39.476467Z  INFO vpnnode::roles::relay: relay forward path forwarding from idx=1 to downstream from=Udp://46.242.13.60:2058 to=Udp://31.192.232.26:30000 idx=0
2026-03-26T18:43:39+0000 i1.pserver.space vpnnode[208354]: 2026-03-26T18:43:39.476853Z  INFO vpnnode::roles::relay: relay forward path forwarding from idx=1 to downstream from=Udp://46.242.13.60:2058 to=Udp://31.192.232.26:30000 idx=0
2026-03-26T18:43:39+0000 i1.pserver.space vpnnode[208354]: 2026-03-26T18:43:39.476975Z  INFO vpnnode::roles::relay: relay forward path forwarding from idx=1 to downstream from=Udp://46.242.13.60:2058 to=Udp://31.192.232.26:30000 idx=0
2026-03-26T18:43:39+0000 i1.pserver.space vpnnode[208354]: 2026-03-26T18:43:39.477343Z  INFO vpnnode::roles::relay: relay forward path forwarding from idx=1 to downstream from=Udp://46.242.13.60:2058 to=Udp://31.192.232.26:30000 idx=0
2026-03-26T18:43:39+0000 i1.pserver.space vpnnode[208354]: 2026-03-26T18:43:39.604099Z  INFO vpnnode::roles::relay: relay reverse path (first hop) forwarding to client at idx=0 from=Udp://31.192.232.26:30000 to=Udp://46.242.13.60:2058 idx=0
